Jahr	BIP	BIP_Prozent	BN_Produkt	BN_Einkommen	Volkseinkommen	BIP_pro_Kopf	BN_Einkommen_pro_Kopf	Volkseinkommen_pro_Kopf
1973	 64,04   	 4,8   	 486,02   	 486,23   	 380,29   	7842   		7845   			6136   
1974	 64,61   	 0,9   	 526,02   	 526,25   	 411,42   	8477   		8481   			6630   
1975	 64,05   	-0,9   	 551,01   	 552,02   	 430,46   	8912   		8928   			6962   
1976	 67,22   	 4,9   	 597,40   	 598,99   	 467,73   	9709   		9735   			7602   
1977	 69,47   	 3,3   	 636,54   	 637,22   	 497,17   	10367   	10378   		8097   
1978	 71,56   	 3,0   	 678,94   	 682,10   	 531,55   	11071   	11122   		8667   
1979	 74,53   	 4,2   	 737,37   	 738,61   	 573,25   	12017   	12038   		9343   
1980	 75,58   	 1,4   	 788,52   	 789,98   	 609,30   	12808   	12831   		9897   
1981	 75,98   	 0,5   	 825,79   	 825,90   	 635,47   	13388   	13390   		10302   
1982	 75,68   	-0,4   	 860,21   	 859,56   	 659,60   	13956   	13945   		10701   
1983	 76,87   	 1,6   	 898,27   	 900,40   	 689,54   	14624   	14659   		11226   
1984	 79,04   	 2,8   	 942,00   	 947,93   	 726,53   	15398   	15495   		11876   
1985	 80,88   	 2,3   	 984,41   	 990,68   	 762,35   	16132   	16234   		12493   
1986	 82,73   	 2,3   	1037,13   	1041,19   	 805,71   	16984   	17050   		13194   
1987	 83,89   	 1,4   	1065,13   	1067,75   	 825,38   	17439   	17482   		13514   
1988	 87,00   	 3,7   	1123,29   	1131,66   	 878,15   	18280   	18416   		14290   
1989	 90,39   	 3,9   	1200,66   	1211,11   	 938,71   	19346   	19514   		15125   
1990	 95,14   	 5,3   	1306,68   	1317,94   	1017,91   	20658   	20836   		16092   
1991	 100,00   	 5,1   	1415,80   	1417,81   	1088,98   	22096   	22128   		16996   
1992	 74,73   	 0,0   	1702,060   	1717,115   	1312,227   	21144   	21331   		16301   
1993	 74,00   	-1,0   	1750,890   	1762,243   	1327,942   	21630   	21771   		16405   
1994	 75,77   	 2,4   	1829,550   	1830,687   	1373,463   	22546   	22560   		16926   
1995	 76,94   	 1,5   	1894,610   	1892,016   	1423,699   	23302   	23270   		17510   
1996	 77,56   	 0,8   	1921,380   	1921,656   	1443,476   	23585   	23588   		17719   
1997	 78,95   	 1,8   	1961,150   	1957,405   	1465,354   	24060   	24014   		17978   
1998	 80,54   	 2,0   	2014,420   	2002,895   	1496,754   	24733   	24592   		18377   
1999	 82,06   	 1,9   	2059,480   	2045,234   	1515,354   	25294   	25119   		18611   
2000	 84,45   	 2,9   	2109,090   	2097,226   	1547,238   	25892   	25746   		18995   
2001	 85,87   	 1,7   	2172,540   	2157,280   	1590,503   	26651   	26464   		19511   
2002	 85,70   	-0,2   	2198,120   	2174,801   	1596,810   	26945   	26659   		19574   
2003	 85,10   	-0,7   	2211,570   	2189,106   	1600,084   	27120   	26844   		19621   
2004	 86,10   	 1,2   	2262,520   	2276,187   	1680,822   	27776   	27944   		20635   
2005	 86,73   	 0,7   	2288,310   	2307,203   	1701,833   	28134   	28366   		20923   
2006	 90,04   	 3,8   	2385,080   	2425,419   	1801,311   	29383   	29880   		22191   
2007	 92,72   	 3,0   	2499,550   	2535,845   	1867,151   	30862   	31310   		23054   
2008	 93,61   	 1,0   	2546,490   	2570,665   	1879,477   	31530   	31829   		23271   
2009	 88,28   	-5,7   	2445,730   	2500,874   	1805,320   	30388   	31073   		22431   
2010	 91,97   	 4,2   	2564,400   	2615,840   	1905,093   	31942   	32582   		23729   
2011	 95,58   	 3,9   	2693,560   	2762,535   	2016,079   	33554   	34413   		25115   
2012	 95,98   	 0,4   	2745,310   	2811,180   	2039,759   	34135   	34954   		25362   
2013	 96,40   	 0,4   	2811,350   	2876,449   	2086,774   	34860   	35668   		25876   
2014	 98,53   	 2,2   	2927,430   	2986,082   	2173,300   	36149   	36873   		26836   
2015	 100,00   	 1,5   	3026,180   	3095,143   	2252,756   	37046   	37890   		27578   
2016	 102,23   	 2,2   	3134,740   	3212,504   	2345,503   	38067   	39011   		28482   
2017	 104,89   	 2,6   	3259,860   	3337,200   	2436,537   	39438   	40374   		29478   
2018	 106,22   	 1,3   	3356,410   	3447,411   	2510,109   	40485   	41582   		30277   
2019	 106,81   	 0,6   	3449,050   	3542,818   	2564,131   	41508   	42637   		30859   
2020	 101,58   	-4,9   	3332,230   	3427,144   	2492,685   	40072   	41213   		29976   
							
